Purpose_of_flight,Total_Fatal_Injuries,Broad_phase_of_flight,year
Personal,,Takeoff,2006
Personal,,Takeoff,2006
Personal,2,Approach,2006
Personal,,Takeoff,2006
Instructional,,Landing,2006
Personal,,Takeoff,2006
Aerial Application,,Maneuvering,2006
Positioning,,Descent,2006
Positioning,,Maneuvering,2006
Instructional,4,Maneuvering,2006
Instructional,,Takeoff,2006
Banner Tow,,Takeoff,2006
Personal,,Cruise,2006
Personal,,Cruise,2006
Personal,,Climb,2006
Personal,,Takeoff,2006
Personal,1,Approach,2006
Personal,,Approach,2006
Instructional,2,Maneuvering,2006
Personal,,Cruise,2006
Personal,1,Landing,2006
Unknown,,Landing,2006
Personal,,Takeoff,2006
Personal,,Landing,2006
Personal,,Go-around,2006
Personal,3,Cruise,2006
Ferry,1,Takeoff,2006
Personal,1,Standing,2006
Personal,,Landing,2006
Personal,1,Maneuvering,2006
Personal,,Go-around,2006
Instructional,,Approach,2006
Personal,1,Approach,2006
Personal,,Landing,2006
Instructional,,Approach,2006
Personal,,Landing,2006
Instructional,,Approach,2006
Personal,,Landing,2006
Personal,,Approach,2006
Personal,,Standing,2006
Personal,1,Maneuvering,2006
Flight Test,1,Approach,2006
Personal,,Takeoff,2006
Personal,,Landing,2006
Aerial Observation,,Maneuvering,2006
Personal,,Maneuvering,2006
Personal,,Takeoff,2006
Personal,,Cruise,2006
Personal,,Landing,2006
Personal,,Cruise,2006
Personal,,Landing,2006
Personal,,Takeoff,2006
Other Work Use,,Maneuvering,2006
Personal,,Takeoff,2006
Personal,,Takeoff,2006
Public Aircraft - Local,,Cruise,2006
Personal,,Landing,2006
Personal,2,Takeoff,2006
Business,1,Maneuvering,2006
Banner Tow,,Maneuvering,2006
Instructional,,Go-around,2006
Personal,1,Landing,2006
Personal,,Takeoff,2006
Personal,,Cruise,2006
Personal,,Landing,2006
Personal,3,Maneuvering,2006
Personal,2,Descent,2006
Personal,,Cruise,2006
Personal,1,Cruise,2006
Personal,,Landing,2006
Personal,1,Takeoff,2006
Instructional,,Approach,2006
Personal,,Takeoff,2006
Personal,,Landing,2006
Personal,,Takeoff,2006
Personal,1,Maneuvering,2006
Personal,,Go-around,2006
Instructional,,Landing,2006
Instructional,2,Approach,2006
Other Work Use,,Landing,2006
Personal,,Takeoff,2006
Personal,3,Takeoff,2006
Personal,,Landing,2006
Personal,,Unknown,2006
Personal,,Landing,2006
Personal,,Landing,2006
Personal,,Takeoff,2006
Personal,,Landing,2006
Personal,,Approach,2006
Personal,,Approach,2006
Personal,,Landing,2006
Personal,1,Unknown,2006
Personal,1,Cruise,2006
Personal,,Descent,2006
Personal,,Takeoff,2006
Other Work Use,,Maneuvering,2006
Personal,,Landing,2006
Personal,,Approach,2006
Personal,,Landing,2006
Personal,,Descent,2006
,,Descent,2006
Personal,,Takeoff,2006
Personal,,Landing,2006
Personal,,Go-around,2006
Personal,,Landing,2006
Other Work Use,,Landing,2006
Personal,5,Go-around,2006
Personal,,Landing,2006
Personal,,Takeoff,2006
Personal,,Cruise,2006
Personal,,Landing,2006
Personal,,Cruise,2006
Executive/corporate,,Landing,2006
Instructional,,Approach,2006
,1,Cruise,2006
Personal,,Takeoff,2006
Aerial Application,,Cruise,2006
Public Aircraft - Federal,,Descent,2006
Personal,,Approach,2006
Personal,,Landing,2006
Personal,2,Approach,2006
Positioning,1,Maneuvering,2006
Personal,,Landing,2006
,,Taxi,2006
,,Takeoff,2006
Personal,1,Go-around,2006
Unknown,,Takeoff,2006
Aerial Application,,Takeoff,2006
,,Landing,2006
Instructional,,Maneuvering,2006
Aerial Application,,Takeoff,2006
Instructional,,Landing,2006
Personal,,Maneuvering,2006
Personal,,Landing,2006
Instructional,,Takeoff,2006
Personal,,Cruise,2006
Personal,,Takeoff,2006
Instructional,,Landing,2006
Personal,1,Cruise,2006
Instructional,,Cruise,2006
Skydiving,,Approach,2006
Personal,,Cruise,2006
Other Work Use,,Takeoff,2006
,,Approach,2006
Personal,,Takeoff,2006
Personal,1,Takeoff,2006
Personal,,Landing,2006
Personal,,Landing,2006
Instructional,,Takeoff,2006
Personal,,Landing,2006
Personal,,Approach,2006
Personal,,Cruise,2006
Personal,,Takeoff,2006
Instructional,,Landing,2006
Air Race/show,1,Takeoff,2006
Personal,1,Takeoff,2006
Personal,1,Approach,2006
Other Work Use,,Approach,2006
Positioning,,Approach,2006
Personal,2,Cruise,2006
Business,,Landing,2006
Personal,,Landing,2006
Personal,,Landing,2006
Personal,,Landing,2006
Personal,,Maneuvering,2006
Business,3,Landing,2006
Positioning,,Takeoff,2006
Personal,2,Landing,2006
Personal,,Takeoff,2006
Instructional,,Approach,2006
Business,1,Cruise,2006
Personal,2,Takeoff,2006
Personal,,Landing,2006
Personal,,Landing,2006
Personal,,Cruise,2006
Aerial Application,,Maneuvering,2006
Personal,,Landing,2006
Other Work Use,,Landing,2006
Personal,,Approach,2006
Business,,Maneuvering,2006
Executive/corporate,,Taxi,2006
Personal,,Takeoff,2006
Personal,,Go-around,2006
Personal,,Maneuvering,2006
Personal,,Takeoff,2006
Instructional,,Landing,2006
Aerial Application,1,Standing,2006
Personal,,Go-around,2006
Aerial Application,,Maneuvering,2006
Aerial Application,,Climb,2006
Personal,,Cruise,2006
Personal,2,Landing,2006
Instructional,,Go-around,2006
Personal,,Cruise,2006
Personal,2,Approach,2006
Personal,,Landing,2006
Personal,,Landing,2006
Positioning,,Landing,2006
Instructional,,Taxi,2006
Personal,,Takeoff,2006
,,Landing,2006
Unknown,,Takeoff,2006
,,Taxi,2006
Personal,1,Cruise,2006
Personal,1,Maneuvering,2006
Personal,,Takeoff,2006
Positioning,,Landing,2006
Personal,1,Takeoff,2006
Personal,,Landing,2006
Personal,,Cruise,2006
Business,,Landing,2006
Flight Test,2,Standing,2006
Instructional,,Cruise,2006
Personal,,Maneuvering,2006
Personal,,Landing,2006
Instructional,,Takeoff,2006
Personal,,Takeoff,2006
Personal,2,Cruise,2006
Personal,,Takeoff,2006
,,Taxi,2006
Personal,,Takeoff,2006
Aerial Application,,Takeoff,2006
Personal,,Cruise,2006
,,Maneuvering,2006
Personal,,Landing,2006
Instructional,2,Cruise,2006
Other Work Use,,Descent,2006
Aerial Observation,,Landing,2006
Personal,,Climb,2006
Personal,,Cruise,2006
Instructional,,Maneuvering,2006
,,Landing,2006
Other Work Use,3,Unknown,2006
Personal,,Takeoff,2006
Instructional,,Landing,2006
Personal,,Landing,2006
Personal,,Landing,2006
Skydiving,6,Takeoff,2006
Business,,Takeoff,2006
Personal,,Taxi,2006
Personal,,Landing,2006
Personal,,Climb,2006
Personal,1,Cruise,2006
Personal,1,Taxi,2006
Aerial Application,,Maneuvering,2006
Personal,,Landing,2006
Personal,,Takeoff,2006
Personal,1,Takeoff,2006
Personal,2,Maneuvering,2006
Aerial Application,,Landing,2006
Instructional,,Maneuvering,2006
,,Approach,2006
Instructional,,Landing,2006
Personal,,Maneuvering,2006
,,Takeoff,2006
Unknown,,Landing,2006
Personal,,Landing,2006
Instructional,,Landing,2006
Personal,,Takeoff,2006
Public Aircraft - Federal,,Climb,2006
Instructional,,Takeoff,2006
Aerial Application,1,Maneuvering,2006
Personal,1,Takeoff,2006
Instructional,,Landing,2006
Instructional,,Landing,2006
Personal,1,Cruise,2006
Personal,,Approach,2006
Banner Tow,,Maneuvering,2006
Public Aircraft - Federal,2,Maneuvering,2006
Personal,2,Climb,2006
Personal,,Approach,2006
Aerial Application,1,Maneuvering,2006
Personal,,Landing,2006
Instructional,,Taxi,2006
Personal,,Takeoff,2006
Aerial Application,,Cruise,2006
Positioning,1,Approach,2006
Personal,,Takeoff,2006
Personal,,Takeoff,2006
Banner Tow,,Cruise,2006
Personal,,Approach,2006
Aerial Application,1,Maneuvering,2006
Instructional,,Approach,2006
Personal,,Approach,2006
Personal,,Maneuvering,2006
Personal,,Takeoff,2006
Personal,,Landing,2006
Personal,,Taxi,2006
Instructional,,Landing,2006
Personal,,Landing,2006
Personal,,Takeoff,2006
Personal,,Landing,2006
Business,1,Maneuvering,2006
Personal,,Landing,2006
Personal,,Descent,2006
Aerial Application,,Maneuvering,2006
Personal,,Cruise,2006
Personal,,Landing,2006
Personal,,Landing,2006
Personal,,Taxi,2006
Business,,Cruise,2006
Business,,Landing,2006
Positioning,,Maneuvering,2006
Aerial Observation,1,Maneuvering,2006
Personal,,Cruise,2006
Personal,,Landing,2006
Aerial Application,,Maneuvering,2006
Personal,,Landing,2006
Aerial Application,,Cruise,2006
Unknown,,Landing,2006
Instructional,,Go-around,2006
Personal,,Landing,2006
Personal,,Maneuvering,2006
Aerial Application,,Maneuvering,2006
Public Aircraft - Local,,Standing,2006
External Load,,Standing,2006
Personal,,Takeoff,2006
Personal,1,Go-around,2006
Personal,,Takeoff,2006
Instructional,,Maneuvering,2006
Personal,,Approach,2006
Personal,,Landing,2006
Personal,,Cruise,2006
Public Aircraft,4,Maneuvering,2006
Positioning,3,Maneuvering,2006
Instructional,,Landing,2006
Personal,,Takeoff,2006
Instructional,4,Approach,2006
Personal,,Maneuvering,2006
Personal,,Cruise,2006
Personal,,Maneuvering,2006
Personal,,Landing,2006
Personal,,Landing,2006
Instructional,,Go-around,2006
,,Takeoff,2006
Flight Test,1,Maneuvering,2006
Personal,,Landing,2006
Personal,1,Takeoff,2006
Positioning,,Approach,2006
Personal,,Cruise,2006
Personal,,Takeoff,2006
Personal,,Takeoff,2006
Personal,,Takeoff,2006
Aerial Application,,Maneuvering,2006
Personal,2,Go-around,2006
External Load,1,Maneuvering,2006
Personal,1,Takeoff,2006
Personal,,Maneuvering,2006
Glider Tow,,Standing,2006
,,Approach,2006
Personal,,Cruise,2006
Personal,,Takeoff,2006
Personal,,Climb,2006
Public Aircraft - Local,0,Cruise,2006
Instructional,,Landing,2006
,,Cruise,2006
Personal,,Takeoff,2006
Personal,2,Maneuvering,2006
Personal,,Landing,2006
Personal,,Landing,2006
Personal,,Landing,2006
Personal,,Landing,2006
Personal,,Landing,2006
,,Taxi,2006
Personal,,Landing,2006
Personal,,Cruise,2006
,,Taxi,2006
Public Aircraft,1,Cruise,2006
Personal,,Climb,2006
Skydiving,,Maneuvering,2006
Personal,,Landing,2006
Instructional,,Landing,2006
Personal,,Landing,2006
Instructional,,Takeoff,2006
Personal,1,Cruise,2006
Aerial Application,,Takeoff,2006
Aerial Application,,Maneuvering,2006
Personal,1,Maneuvering,2006
Personal,,Takeoff,2006
Personal,1,Cruise,2006
Personal,,Maneuvering,2006
Instructional,,Landing,2006
Personal,,Landing,2006
Other Work Use,,Landing,2006
Personal,2,Cruise,2006
Personal,1,Takeoff,2006
Ferry,,Cruise,2006
Personal,,Approach,2006
Personal,,Landing,2006
Personal,1,Takeoff,2006
Personal,,Landing,2006
Personal,2,Maneuvering,2006
Positioning,,Takeoff,2006
Aerial Observation,,Maneuvering,2006
Personal,,Takeoff,2006
,49,Taxi,2006
Unknown,,Landing,2006
Instructional,,Maneuvering,2006
Personal,,Takeoff,2006
Personal,,Cruise,2006
Personal,,Landing,2006
Personal,,Cruise,2006
Personal,7,Approach,2006
Personal,1,Climb,2006
Instructional,,Go-around,2006
Personal,,Cruise,2006
Personal,,Maneuvering,2006
Instructional,,Approach,2006
Instructional,,Landing,2006
Personal,,Go-around,2006
Personal,,Takeoff,2006
,,Landing,2006
,,Standing,2006
Positioning,1,Descent,2006
Personal,,Go-around,2006
Personal,,Takeoff,2006
Personal,,Landing,2006
,,Landing,2006
Personal,1,Cruise,2006
Personal,3,Takeoff,2006
Personal,1,Takeoff,2006
Personal,2,Takeoff,2006
Instructional,,Go-around,2006
Personal,,Landing,2006
Personal,,Takeoff,2006
Personal,,Landing,2006
Personal,,Cruise,2006
Personal,,Approach,2006
Personal,,Takeoff,2006
Personal,,Landing,2006
Banner Tow,,Maneuvering,2006
Personal,,Cruise,2006
External Load,,Maneuvering,2006
Personal,,Maneuvering,2006
Personal,2,Climb,2006
Unknown,1,Cruise,2006
Personal,,Takeoff,2006
Positioning,,Taxi,2006
,,Landing,2006
Personal,,Takeoff,2006
Aerial Observation,2,Cruise,2006
Business,,Climb,2006
Aerial Application,,Maneuvering,2006
Public Aircraft - State,2,Maneuvering,2006
Instructional,,Landing,2006
Personal,,Descent,2006
Instructional,,Landing,2006
Personal,,Takeoff,2006
Personal,,Takeoff,2006
,,Taxi,2006
Personal,1,Maneuvering,2006
Instructional,,Approach,2006
Personal,,Takeoff,2006
Personal,,Landing,2006
Personal,,Approach,2006
Instructional,,Standing,2006
Personal,1,Unknown,2006
Personal,,Landing,2006
Personal,,Landing,2006
Personal,,Landing,2006
Personal,2,Unknown,2006
Personal,,Takeoff,2006
Personal,,Takeoff,2006
Personal,,Cruise,2006
Personal,,Landing,2006
Instructional,,Takeoff,2006
Public Aircraft - State,,Standing,2006
Instructional,1,Maneuvering,2006
Unknown,,Landing,2006
Personal,,Landing,2006
Personal,,Landing,2006
Personal,,Landing,2006
Personal,,Landing,2006
Public Aircraft,2,Maneuvering,2006
Personal,,Landing,2006
Personal,,Climb,2006
Personal,,Cruise,2006
Personal,4,Cruise,2006
Business,2,Cruise,2006
Personal,2,Cruise,2006
Unknown,,Landing,2006
Aerial Observation,,Other,2006
Personal,,Cruise,2006
,,Cruise,2006
Banner Tow,,Standing,2006
Personal,,Landing,2006
Instructional,,Landing,2006
Instructional,,Takeoff,2006
Instructional,,Landing,2006
Personal,,Landing,2006
Instructional,,Landing,2006
Business,,Maneuvering,2006
Personal,,Cruise,2006
External Load,,Takeoff,2006
Personal,,Approach,2006
Personal,1,Landing,2006
Personal,,Takeoff,2006
Personal,,Landing,2006
Personal,2,Maneuvering,2006
Personal,,Landing,2006
Other Work Use,1,Maneuvering,2006
Personal,,Cruise,2006
Instructional,,Landing,2006
Business,1,Cruise,2006
Personal,,Climb,2006
Personal,1,Descent,2006
Instructional,,Takeoff,2006
Instructional,,Landing,2006
Ferry,,Cruise,2006
Personal,,Climb,2006
Other Work Use,3,Takeoff,2006
External Load,,Cruise,2006
Personal,,Landing,2006
Personal,,Landing,2006
Personal,,Maneuvering,2006
Personal,1,Landing,2006
Personal,,Takeoff,2006
Personal,2,Maneuvering,2006
Personal,,Cruise,2006
Personal,,Takeoff,2006
Personal,,Takeoff,2006
Other Work Use,,Standing,2006
Personal,,Approach,2006
Personal,,Approach,2006
Personal,1,Takeoff,2006
Personal,1,Landing,2006
Personal,,Takeoff,2006
Flight Test,,Maneuvering,2006
Personal,,Landing,2006
Personal,,Cruise,2006
Personal,,Cruise,2006
Personal,,Landing,2006
Personal,,Descent,2006
Personal,,Landing,2006
Personal,,Go-around,2006
Personal,,Maneuvering,2006
Positioning,,Cruise,2006
Instructional,,Approach,2006
Personal,,Takeoff,2006
Public Aircraft - Federal,,Maneuvering,2006
Personal,,Takeoff,2006
Personal,,Landing,2006
,,Takeoff,2006
Instructional,,Approach,2006
Personal,,Approach,2006
Personal,,Approach,2006
Air Race/show,1,Maneuvering,2006
Aerial Application,,Maneuvering,2006
Personal,,Taxi,2006
Business,,Landing,2006
Personal,,Landing,2006
Instructional,,Landing,2006
Personal,,Takeoff,2006
Personal,,Landing,2006
Personal,,Landing,2006
Instructional,,Landing,2006
Personal,,Takeoff,2006
Personal,2,Takeoff,2006
,,Standing,2006
Personal,4,Takeoff,2006
Personal,,Takeoff,2006
Personal,,Cruise,2006
Personal,,Landing,2006
Personal,1,Approach,2006
Instructional,,Takeoff,2006
Personal,,Cruise,2006
Personal,,Landing,2006
Personal,,Landing,2006
Personal,,Standing,2006
Instructional,2,Maneuvering,2006
Personal,,Cruise,2006
Personal,,Landing,2006
Other Work Use,,Takeoff,2006
Personal,,Landing,2006
Personal,1,Cruise,2006
Personal,,Approach,2006
Personal,,Landing,2006
Personal,,Maneuvering,2006
Personal,,Approach,2006
,,Approach,2006
Personal,,Landing,2006
Aerial Application,,Takeoff,2006
Personal,2,Maneuvering,2006
Personal,,Taxi,2006
Personal,,Cruise,2006
Flight Test,,Landing,2006
Personal,,Landing,2006
Personal,,Landing,2006
Personal,,Landing,2006
Personal,,Takeoff,2006
Personal,,Landing,2006
Aerial Application,,Takeoff,2006
Personal,,Landing,2006
,,Approach,2006
Personal,,Taxi,2006
Personal,,Takeoff,2006
Air Race/show,1,Maneuvering,2006
Personal,1,Maneuvering,2006
Personal,,Landing,2006
Personal,,Landing,2006
Personal,,Landing,2006
Aerial Observation,,Maneuvering,2006
Personal,4,Cruise,2006
Business,,Cruise,2006
Positioning,,Landing,2006
Personal,,Cruise,2006
Flight Test,,Maneuvering,2006
Personal,5,Maneuvering,2006
Instructional,,Go-around,2006
Personal,2,Approach,2006
,,Cruise,2006
Personal,,Takeoff,2006
Instructional,,Go-around,2006
Personal,,Cruise,2006
Personal,,Landing,2006
Personal,,Takeoff,2006
Personal,2,Cruise,2006
Instructional,,Landing,2006
Personal,,Takeoff,2006
Personal,,Cruise,2006
Aerial Application,,Takeoff,2006
Personal,1,Maneuvering,2006
Personal,,Go-around,2006
Personal,1,Go-around,2006
Personal,,Landing,2006
Personal,2,Cruise,2006
Instructional,,Cruise,2006
Personal,1,Cruise,2006
Instructional,,Approach,2006
Personal,2,Climb,2006
Personal,,Landing,2006
Positioning,,Landing,2006
Personal,,Landing,2006
Instructional,,Takeoff,2006
Personal,,Landing,2006
,,Landing,2006
Personal,,Landing,2006
Positioning,1,Cruise,2006
Personal,,Cruise,2006
Personal,4,Cruise,2006
Unknown,1,Approach,2006
,,Cruise,2006
Personal,,Landing,2006
Instructional,,Landing,2006
Personal,,Landing,2006
Personal,,Landing,2006
Personal,2,Maneuvering,2006
Personal,,Takeoff,2006
Personal,,Takeoff,2006
Personal,,Cruise,2006
Personal,,Landing,2006
,,Landing,2006
Personal,1,Takeoff,2006
Instructional,,Go-around,2006
Personal,,Climb,2006
Personal,,Landing,2006
Personal,,Takeoff,2006
,,Takeoff,2006
Instructional,,Landing,2006
Instructional,,Landing,2006
,,Taxi,2006
Instructional,,Cruise,2006
Flight Test,,Approach,2006
Personal,,Landing,2006
Positioning,,Cruise,2006
Executive/corporate,,Landing,2006
Instructional,2,Approach,2006
Instructional,2,Maneuvering,2006
Positioning,,Climb,2006
Personal,,Takeoff,2006
Personal,2,Maneuvering,2006
Personal,1,Cruise,2006
Business,,Cruise,2006
Personal,2,Cruise,2006
Personal,3,Cruise,2006
Personal,,Standing,2006
Personal,1,Maneuvering,2006
Personal,,Landing,2006
Instructional,,Maneuvering,2006
Personal,,Takeoff,2006
Personal,,Cruise,2006
Personal,1,Cruise,2006
Personal,2,Cruise,2006
Personal,1,Cruise,2006
Aerial Application,1,Maneuvering,2006
Personal,,Landing,2006
Personal,,Landing,2006
Personal,,Approach,2006
,,Standing,2006
,,Standing,2006
Other Work Use,,Standing,2006
Personal,,Takeoff,2006
Personal,1,Landing,2006
Personal,1,Approach,2006
Aerial Application,,Cruise,2006
Personal,1,Cruise,2006
,,Taxi,2006
Personal,,Go-around,2006
Instructional,1,Maneuvering,2006
Personal,,Landing,2006
Personal,,Approach,2006
Instructional,,Cruise,2006
Other Work Use,,Standing,2006
Personal,,Takeoff,2006
Personal,2,Approach,2006
Personal,1,Takeoff,2006
Personal,,Takeoff,2006
Personal,,Cruise,2006
Personal,,Approach,2006
Business,,Cruise,2006
Personal,,Landing,2006
Personal,2,Takeoff,2006
Unknown,5,Climb,2006
Personal,,Approach,2006
Personal,,Landing,2006
Personal,,Approach,2006
Executive/corporate,3,Takeoff,2006
Personal,,Landing,2006
Positioning,,Maneuvering,2006
Personal,,Landing,2006
Personal,1,Landing,2006
Personal,,Landing,2006
Instructional,,Approach,2006
Other Work Use,,Landing,2006
Personal,1,Approach,2006
Instructional,,Takeoff,2006
Personal,,Maneuvering,2006
Public Aircraft,,Standing,2006
Personal,,Approach,2006
Personal,,Landing,2006
Business,,Landing,2006
Instructional,,Landing,2006
Personal,,Cruise,2006
Personal,,Landing,2006
Instructional,,Landing,2006
Personal,,Cruise,2006
Personal,1,Cruise,2006
Other Work Use,1,Maneuvering,2006
Personal,,Approach,2006
Personal,,Cruise,2006
Personal,,Landing,2006
Personal,,Approach,2006
Personal,,Maneuvering,2006
Personal,,Go-around,2006
Instructional,,Landing,2006
Personal,,Landing,2006
Personal,,Approach,2006
Personal,,Takeoff,2006
External Load,,Maneuvering,2006
Personal,,Landing,2006
Personal,,Cruise,2006
Personal,,Takeoff,2006
Personal,,Landing,2006
Personal,,Maneuvering,2006
Personal,,Landing,2006
Personal,,Landing,2006
Personal,2,Maneuvering,2006
Personal,,Descent,2006
Personal,,Landing,2006
Personal,,Takeoff,2006
Instructional,,Landing,2006
Personal,,Takeoff,2006
Personal,1,Maneuvering,2006
Instructional,,Landing,2006
Personal,,Taxi,2006
Personal,,Approach,2006
Personal,,Approach,2006
Positioning,,Descent,2006
Personal,,Landing,2006
Personal,,Landing,2006
Personal,,Standing,2006
Instructional,,Landing,2006
Personal,,Takeoff,2006
Personal,1,Approach,2006
Personal,,Takeoff,2006
Personal,,Maneuvering,2006
Personal,2,Maneuvering,2006
Personal,2,Approach,2006
Instructional,,Landing,2006
Personal,2,Maneuvering,2006
Personal,1,Approach,2006
Personal,,Landing,2006
Personal,,Cruise,2006
Personal,,Cruise,2006
Personal,,Landing,2006
Personal,,Cruise,2006
Business,,Taxi,2006
Personal,,Landing,2006
Personal,,Taxi,2006
Personal,,Cruise,2006
Personal,,Takeoff,2006
Personal,,Maneuvering,2006
Personal,,Approach,2006
Personal,1,Cruise,2006
,,Landing,2006
Personal,,Takeoff,2006
Personal,,Cruise,2006
Personal,,Cruise,2006
Personal,2,Approach,2006
Personal,,Cruise,2006
Personal,2,Maneuvering,2006
Personal,,Landing,2006
Personal,,Takeoff,2006
,,Takeoff,2006
Personal,,Cruise,2006
Personal,1,Approach,2006
Positioning,3,Cruise,2006
Business,3,Approach,2006
Personal,2,Maneuvering,2006
Personal,,Landing,2006
Instructional,,Landing,2006
Instructional,,Landing,2006
Personal,,Landing,2006
,,Cruise,2006
Instructional,1,Approach,2006
Personal,,Takeoff,2006
Instructional,,Standing,2006
Business,,Landing,2006
Personal,,Climb,2006
,2,Takeoff,2006
Personal,1,Takeoff,2006
Personal,,Approach,2006
Personal,,Approach,2006
Personal,,Cruise,2006
,2,Cruise,2006
Personal,,Takeoff,2006
Personal,,Approach,2006
,,Cruise,2006
Personal,3,Cruise,2006
Personal,,Standing,2006
Instructional,,Takeoff,2006
Personal,,Cruise,2006
,,Approach,2006
Personal,,Cruise,2006
Personal,4,Cruise,2006
Instructional,3,Descent,2006
Personal,1,Cruise,2006
Business,1,Approach,2006
Business,1,Approach,2006
,,Unknown,2006
Personal,,Cruise,2006
Flight Test,,Takeoff,2006
Personal,,Takeoff,2006
Personal,,Cruise,2006
Instructional,2,Maneuvering,2006
Instructional,,Landing,2006
Personal,4,Approach,2006
Personal,,Takeoff,2006
Positioning,,Landing,2006
Personal,4,Approach,2006
Personal,5,Cruise,2006
Personal,1,Cruise,2006
Personal,4,Go-around,2006
Personal,,Maneuvering,2006
,,Standing,2006
Personal,,Landing,2006
Personal,,Landing,2006
Personal,,Cruise,2006
Personal,3,Approach,2006
,,Taxi,2006
Personal,,Cruise,2006
Personal,2,Descent,2006
Positioning,,Cruise,2006
,,Approach,2006
Positioning,2,Landing,2006
,,Taxi,2006
Personal,,Taxi,2006
Personal,,Cruise,2006
Instructional,,Approach,2006
Personal,,Landing,2006
Personal,,Landing,2006
Instructional,2,Maneuvering,2006
Personal,,Descent,2006
Personal,,Cruise,2006
,,Approach,2006
Personal,1,Maneuvering,2006
Instructional,,Landing,2006
Instructional,,Maneuvering,2006
Personal,,Cruise,2006
Personal,,Landing,2006
Banner Tow,1,Maneuvering,2006
Personal,,Landing,2006
Personal,,Landing,2006
Personal,,Landing,2006
Instructional,,Landing,2006
Personal,1,Approach,2006
Personal,,Cruise,2006
Personal,4,Approach,2006
Personal,,Cruise,2007
Business,,Landing,2007
Personal,3,Maneuvering,2007
Personal,1,Maneuvering,2007
Personal,,Cruise,2007
Instructional,,Landing,2007
Other Work Use,,Maneuvering,2007
Business,,Landing,2007
Personal,,Takeoff,2007
Aerial Observation,2,Approach,2007
Business,3,Approach,2007
Instructional,,Maneuvering,2007
Personal,,Taxi,2007
,,Landing,2007
Personal,1,Maneuvering,2007
Personal,,Cruise,2007
Personal,,Landing,2007
Instructional,,Takeoff,2007
Other Work Use,,Maneuvering,2007
,,Landing,2007
,,,2007
Personal,1,Takeoff,2007
Executive/corporate,,Landing,2007
,1,Cruise,2007
Personal,,Approach,2007
Instructional,,Takeoff,2007
,,Maneuvering,2007
,,Takeoff,2007
Personal,1,Cruise,2007
Personal,,Takeoff,2007
Instructional,,Landing,2007
Personal,,Landing,2007
Personal,,Cruise,2007
Instructional,,Approach,2007
Positioning,2,Takeoff,2007
,,Approach,2007
Personal,,Landing,2007
Unknown,,Landing,2007
Personal,,Takeoff,2007
Personal,,Go-around,2007
Personal,,Cruise,2007
Personal,,Landing,2007
Personal,,Takeoff,2007
Personal,,Landing,2007
Personal,2,Descent,2007
Personal,,Landing,2007
Personal,1,Approach,2007
Personal,,Landing,2007
Personal,,Landing,2007
Personal,3,Cruise,2007
Personal,,Maneuvering,2007
Other Work Use,,Cruise,2007
Other Work Use,,Landing,2007
Personal,2,Cruise,2007
Personal,,Landing,2007
Personal,,Takeoff,2007
,,Maneuvering,2007
Personal,,Approach,2007
Personal,,Takeoff,2007
Personal,,Cruise,2007
Instructional,,Takeoff,2007
Business,,Landing,2007
Aerial Application,,Landing,2007
Personal,,Landing,2007
Personal,,Cruise,2007
Personal,,Taxi,2007
Personal,,Takeoff,2007
Flight Test,,Taxi,2007
Personal,,Takeoff,2007
Positioning,,Landing,2007
Personal,,Landing,2007
,,Taxi,2007
,,Climb,2007
Instructional,,Takeoff,2007
Personal,,Cruise,2007
Instructional,,Landing,2007
Personal,,Go-around,2007
Personal,,Landing,2007
Instructional,,Cruise,2007
Flight Test,,Climb,2007
Personal,,Cruise,2007
Personal,,Landing,2007
Personal,,Landing,2007
Personal,,Descent,2007
Personal,1,Cruise,2007
Ferry,,Climb,2007
Instructional,,Landing,2007
Personal,,Approach,2007
Business,,Approach,2007
Instructional,,Maneuvering,2007
Positioning,,Descent,2007
Instructional,,Landing,2007
Business,,Approach,2007
Personal,,Maneuvering,2007
Personal,,Cruise,2007
Business,,Cruise,2007
Ferry,2,Cruise,2007
Personal,2,Cruise,2007
Executive/corporate,3,Go-around,2007
Personal,,Approach,2007
,,Landing,2007
Personal,,Maneuvering,2007
Personal,1,Descent,2007
Personal,,Maneuvering,2007
Personal,,Takeoff,2007
Personal,,Approach,2007
,,Landing,2007
Unknown,3,Descent,2007
Personal,1,Descent,2007
Business,,Cruise,2007
Instructional,,Landing,2007
Instructional,,Takeoff,2007
Personal,,Landing,2007
,,Approach,2007
Personal,,Cruise,2007
Personal,1,Takeoff,2007
Personal,,Takeoff,2007
Instructional,,Landing,2007
Personal,,Cruise,2007
Personal,,Cruise,2007
Personal,4,Cruise,2007
Executive/corporate,2,Approach,2007
,1,Go-around,2007
Personal,1,Maneuvering,2007
Personal,,Go-around,2007
Personal,,Cruise,2007
Personal,,Landing,2007
,,Climb,2007
Personal,,Standing,2007
Personal,,Takeoff,2007
Personal,,Takeoff,2007
Personal,,Landing,2007
,2,Approach,2007
Personal,,Landing,2007
Personal,,Takeoff,2007
Business,,Cruise,2007
Instructional,,Landing,2007
Personal,,Approach,2007
Personal,,Landing,2007
,,Takeoff,2007
Business,4,Approach,2007
Personal,,Approach,2007
Flight Test,,Takeoff,2007
Instructional,,Landing,2007
Personal,,Landing,2007
Personal,,Takeoff,2007
Personal,,Cruise,2007
Personal,1,Approach,2007
,,Landing,2007
